,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,SMA50_greater_SMA150_rule_nvalue,close_greater_SMA50_rule_score,volume,Sales_QoQ_percent,SMA50_percent,liquidity_rule_score,rs_value_rule_score,week52_low,SMA150_value,Shares Outstanding,close_greater_SMA50_rule_nvalue,SMA50_greater_SMA150_rule_score,inst_ownership_rule_nvalue,SMA200_percent,Relative Strength Value,eps_QoQ_yearly_rule_nvalue,Inst. Ownership,prev_close_rule_nvalue,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA150_greater_SMA200_rule_nvalue,close_above_52weekhigh_rule_nvalue,week52_high,SMA200_value,SMA150_greater_SMA200_rule_score,EPS_QoQ_percent,eps_QoQ_yearly_rule_score,SMA50_value,SMA200_slope_rul_nvalue,week52_span_rule_score,rs_value_rule_nvalue,prev_close,SMA200_slope_rul_score,liquidity_rule_nvalue,sales_QoQ_yearly_rule_score,sales_QoQ_yearly_rule_nvalue,week52_span_rule_nvalue,inst_ownership_rule_score
2010,MARA,8190.0,204393.67050704526,11,1,False,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,2.064668238082967,20589073.0,7.667000000000002,0.4735,42076.504747024985,84153.00949404997,0.4000000059604645,20.988173083617138,98800000.0,8.0,3353.000266873042,16.0,3.1884,165.36134666806637,2,0.109,64.0,39.7669107333741,19.88345536668705,2048.0,128.0,48.849998474121094,16.24985612039086,597.1790192351565,0.579,4.433333333333334,38.169166723887116,32.0,74009.59653816228,512.0,48.02,0.6800740284227184,256,118.672,4.0,1024.0,18.88
1486,VUZI,8190.0,32920.39093268332,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,2.071231222841719,6829656.0,1.1,0.3948,5393.056148882469,10786.112297764936,1.2300000190734863,11.889230741904333,55700000.0,8.0,2865.9471037582066,16.0,2.134,22.066625581572147,2,0.255,64.0,22.70323083943799,11.351615419718994,2048.0,128.0,28.809999465942386,10.000143859026243,386.87942800365374,0.6859999999999999,5.622222222222222,20.208055549197727,32.0,13366.945851536171,512.0,25.44,0.5018030336632296,256,13.6,4.0,1024.0,65.6
2564,SNBR,8190.0,12874.84956166883,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.4854592064378885,432556.0,0.287,0.1211,2034.7698333801584,4069.5396667603163,15.550000190734865,101.84490416600156,26910000.0,8.0,1344.7267738386888,16.0,0.8654000000000001,8.948319661641243,2,0.9925,64.0,38.6255684602276,19.3127842301138,2048.0,128.0,146.97000122070312,90.15913692995798,265.44676573390046,1.6669999999999998,16.522222222222222,135.28083419799805,32.0,4782.968980219201,512.0,143.49,0.2595076175627763,256,0.5919999999999996,4.0,1024.0,301.6
826,AR,8190.0,11274.715779709417,11,1,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.4938557084280793,8333564.0,0.374,0.2249,36.781945558297366,73.56389111659473,0.6700000166893005,6.85336538690787,268670000.0,8.0,1645.7111544962188,16.0,1.1402,1.143679474837099,2,0.722,64.0,32.294664367661646,16.147332183830823,2048.0,128.0,10.859999656677246,5.9606474852390425,306.72611778256174,1.162,10.911111111111113,9.606944455040825,32.0,8934.781526652841,512.0,10.2,0.2801807318730377,256,1.984,4.0,1024.0,215.04
2229,HIBB,8190.0,5846.810477907136,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.2551053278094987,358405.0,2.785,0.0902,206.03223951243905,412.06447902487815,9.710000038146973,54.31499976378222,16540000.0,8.0,938.5854792201413,16.0,0.5967,1.804813435595465,2,0.95,64.0,26.61897060900541,13.309485304502704,2048.0,128.0,76.04000091552734,51.72510772814854,102.54398921418394,2.989,31.211111111111112,66.76111062367757,32.0,3787.429081252168,512.0,68.89,0.20053733089800685,256,40.56,4.0,1024.0,287.99999999999994
2715,LH,8190.0,5500.369965748592,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.42748389320662455,705975.0,0.52,0.0654,1434.0972915744544,2868.194583148909,113.30999755859376,221.36865351750302,97300000.0,8.0,383.4753517571952,16.0,0.2407,6.601942545212713,2,0.939,64.0,42.666667483564034,21.333333741782013,2048.0,128.0,255.02999877929688,214.06971213800446,69.82880387850646,3.119,32.65555555555555,242.0936101277669,32.0,358.84736233423524,512.0,255.03,0.04353238118522098,256,4.32,4.0,1024.0,284.48
1371,CHX,8190.0,5121.8632176749825,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.1512973184706775,1681691.0,1.881,0.0886,596.9680821854956,1193.9361643709913,6.070000171661378,16.704038409086372,200290000.0,8.0,1133.5154093493484,16.0,0.6456999999999999,3.3319065710370923,2,0.998,64.0,19.04943567159005,9.524717835795027,2048.0,128.0,25.21999931335449,14.61021578054634,293.5034504390897,1.689,16.76666666666667,21.326666567060684,32.0,1528.7458220621313,512.0,21.73,0.24617177540548446,256,26.096,4.0,1024.0,303.36
992,HIMX,8190.0,5086.876492329944,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.18522528980113945,3079247.0,0.5770000000000001,0.0984,3.2943272498449123,6.588654499689825,2.75,9.354807684054741,172180000.0,8.0,1745.4018680332501,16.0,1.0849,1.012868465819707,2,0.161,64.0,18.056428078874788,9.028214039437396,2048.0,128.0,15.949999809265135,7.916187042812649,372.1861367511314,31.824,351.6,13.341111103693645,32.0,2539.5199573863642,512.0,13.65,0.2636810015496249,256,5.232000000000001,4.0,1024.0,35.52
2750,GNRC,8190.0,4350.245637049799,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.15025300260238456,640867.0,0.28800000000000003,0.0634,444.6331196650184,889.2662393300368,83.02999877929688,264.5282680804913,62390000.0,8.0,880.8179045150018,16.0,0.4868,2.7368481236914777,2,0.947,64.0,25.753541729200677,12.876770864600337,2048.0,128.0,363.4700012207031,247.98150975069558,136.6543864237708,0.784,6.711111111111113,321.413335164388,32.0,1665.5817419388275,512.0,327.45,0.15256846962971848,256,0.6080000000000005,4.0,1024.0,287.04
2263,YETI,8190.0,4306.164756018694,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.1314388258222352,678651.0,0.263,0.0429,564.1021662403597,1128.2043324807194,16.930000305175778,68.20942310186533,87110000.0,8.0,170.1439399555796,16.0,0.2704,3.203524086876405,2,0.987,64.0,29.916963806031532,14.958481903015766,2048.0,128.0,78.04000091552734,63.341870506890395,157.3800652670064,12.158,133.0888888888889,71.04277759128145,32.0,1808.119060732773,512.0,72.21,0.071417918497503,256,0.20800000000000016,4.0,1024.0,299.84
2416,BC,8190.0,3923.271554168273,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.039550055919929536,412228.0,0.265,0.0393,500.7122628882226,1001.4245257764453,26.709999084472656,84.7317306811993,78600000.0,8.0,491.58260031982735,16.0,0.3033,2.9559072769071197,2,0.9898,64.0,23.776205932757893,11.888102966378947,2048.0,128.0,107.23999786376952,79.0045322994534,148.46366334221992,0.316,1.5111111111111113,94.90083334181044,32.0,1442.8010837111135,512.0,95.37,0.09644806427752443,256,0.2400000000000002,4.0,1024.0,300.736
2106,LPX,8190.0,3658.5653407025843,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.8951460233839561,1591698.0,0.601,0.2132,248.77708004965814,497.55416009931633,13.859999656677244,41.30432686438928,108000000.0,8.0,850.3081553227312,16.0,0.5914,1.9717854689439767,2,0.956,64.0,38.55240239955616,19.27620119977808,2048.0,128.0,56.83000183105469,38.599640249348376,143.50388117146431,6.374,68.82222222222222,49.878888871934684,32.0,1495.217459589082,512.0,55.46,0.12263262539247882,256,5.6160000000000005,4.0,1024.0,289.92
2795,UHAL,8190.0,2829.6729593370314,11,1,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.4978544838257257,38413.0,0.261,0.125,408.34846628470916,816.6969325694182,250.97000122070312,487.00355647160455,19610000.0,8.0,754.4887835088658,16.0,0.4825,2.5951111964246447,2,0.3670000000000001,64.0,40.79030776536194,20.39515388268097,2048.0,128.0,619.4099731445312,455.49014304181657,141.69235424767626,4.916,52.62222222222224,576.7102754380968,32.0,492.37839442543793,512.0,612.6,0.14648994683247113,256,0.17600000000000016,4.0,1024.0,101.44
2396,ENSG,8190.0,2343.7272247396445,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.6233488161245383,331718.0,1.021,0.0886,143.18641438015197,286.37282876030395,29.21999931335449,79.56192306371835,53840000.0,8.0,385.8437174921796,16.0,0.4175,1.5593219311724686,2,0.857,64.0,38.60106582319249,19.300532911596246,2048.0,128.0,96.12999725341795,73.95107916962328,155.38662077871118,4.357,46.41111111111112,87.05666626824274,32.0,997.2960883098523,512.0,93.84,0.12949635642167664,256,12.336,4.0,1024.0,258.23999999999995
2233,ONTO,8190.0,2185.4333428754653,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.4092728933731298,357373.0,0.581,0.1469,114.8801010807635,229.760202161527,27.899999618530273,53.28326922196607,48930000.0,8.0,709.4281994696047,16.0,0.6083,1.4487503948467324,2,0.976,64.0,32.390545771603634,16.195272885801813,2048.0,128.0,69.91999816894531,47.82294958100903,233.83615445419613,2.975,31.055555555555557,62.51194445292154,32.0,515.7436366439277,512.0,65.71,0.11840195911198073,256,5.2959999999999985,4.0,1024.0,296.31999999999994
2082,PCH,8190.0,2008.7706854533967,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.06532288950888075,635761.0,0.6579999999999999,0.0519,341.74035539688487,683.4807107937697,25.979999542236328,49.54240369796753,67160000.0,8.0,243.81221507545501,16.0,0.1809,2.334923263269081,2,0.8740000000000001,64.0,37.59735695619897,18.79867847809949,2048.0,128.0,54.540000915527344,48.05992785117609,63.17343096374554,7.7429999999999986,84.03333333333333,52.49138885074191,32.0,265.8143630843017,512.0,52.92,0.046918482099477785,256,6.527999999999999,4.0,1024.0,263.68
2449,CINF,8190.0,1970.7289469654465,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,4096.0,0.1152815290291499,657996.0,0.252,0.0711,245.75603619343784,491.5120723868757,48.540000915527344,89.86250019073486,160900000.0,8.0,536.1688998449544,16.0,0.2543,1.9599845163806169,2,0.715,64.0,33.516814627519025,16.758407313759513,2048.0,128.0,108.93000030517578,86.75539573834097,73.34817465065706,0.7070000000000001,5.855555555555558,101.62555631001791,32.0,354.79256129331907,512.0,103.09,0.07314357033951052,256,0.03200000000000003,4.0,1024.0,212.79999999999995
